mail	birthdate	registration	blood_group	company	username	user_id	ssn	residence	name	job	current_location	station_ID
powellhector@hotmail.com	1982-05-13	04 Apr 2020	A-	Ramirez, Grant and Villa	jacqueline83	973	896-26-3434		Leslie Perry		(Decimal('46.112392'), Decimal('91.768936'))	132
brenocavalcante@hotmail.com	1969-01-25	06 Aug 2020	A+	Aparecida S/A	juliaaraujo	1770	43708125690		Isabel Mendonça		(Decimal('11.7711595'), Decimal('-37.269821'))	212
abesayuri@hotmail.com	2015-08-24	12/19/2019, 00:00:00	AB+	山本建設合同会社	mokada	1122	070-88-1776		中村 真綾		(Decimal('-29.2132105'), Decimal('88.502840'))	176
iaulenti@gmail.com	1993-01-18	2019-08-20	B+	Gaito, Trombetta e Gabbana e figli	saffiannibale	151	BTTCSR68D41C102B		Dott. Chiara Ovadia			379
mperry@gmail.com	2012-04-30	2022-03-11	AB+	Cole, Clayton and Todd	cheyenne52	1811	551-64-3694		Zachary Craig	Administrator, arts	(Decimal('-56.5630095'), Decimal('-99.299571'))	819
raraujo@uol.com.br		09/27/2019, 00:00:00	A-	Moraes	sda-mata	839	01865479276		Emanuel Almeida		(Decimal('-15.0789825'), Decimal('11.657282'))	486
ingbert85@gmx.de	1962-03-20	01/27/2022, 00:00:00	O+	Schacht GmbH & Co. OHG	sibille34	1672	212-20-2637		Nermin Kohl-Gute	Mathematiker	(Decimal('-79.4518935'), Decimal('113.570409'))	474
emilieloos@googlemail.com	1928-10-31	2024-03-05	A+	Gumprich GmbH & Co. OHG	fliegnerpriska	2032	516-17-1403		Hubert Kraus		(Decimal('34.2245505'), Decimal('96.928029'))	807
mdas-neves@uol.com.br	2018-11-04	03/23/2021, 00:00:00	B-	Carvalho	xda-mata	861	19278453005		Jade Nogueira	Telegrafista	(Decimal('65.0170035'), Decimal('-71.597374'))	270
shaase@web.de		05/03/2019, 00:00:00	A+	Berger Linke Stiftung & Co. KG	utzweiss	43	871-23-9377		Dr. Dimitrios Mälzer B.Sc.		(Decimal('41.4304175'), Decimal('-179.039966'))	667
hwheeler@yahoo.com	1974-04-26	17 Mar 2023	AB+	Johnson-Pitts	curtistyler	816	016-76-1690		John Collins	Research scientist (medical)	(Decimal('-81.549124'), Decimal('-63.087251'))	829
enricopanatta@vodafone.it		2020-07-31	A+	Pozzecco e figli	winnocenti	935	CRMLSS72B12A937R		Ivo Peranda	Surveyor, land/geomatics	(Decimal('23.2580505'), Decimal('-74.150804'))	484
lauren34@yahoo.com		08 Aug 2021	AB-	Clayton Inc	kathleen06	1295	769-38-4128		Daniel Cole		(Decimal('54.4255005'), Decimal('6.241382'))	601
breno31@bol.com.br		2019/04/07	AB-	Cavalcante	maysa84	1934	08925461749		Igor Cavalcante		(Decimal('-20.757774'), Decimal('71.222687'))	586
dbrown@gmail.com	2013-01-03	06/10/2021, 00:00:00	B+	Anderson, Lee and Cantrell	tdavis	91	148-22-4842		Hannah Sellers		(Decimal('-13.934430'), Decimal('33.451825'))	542
kimurasatomi@hotmail.com		06 Mar 2024	AB-	岡田銀行有限会社	lmori	1209	035-41-1591		佐藤 花子		(Decimal('-61.2679615'), Decimal('-58.347733'))	58
vivaldiraffaele@outlook.com	1915-08-17	10/31/2021, 00:00:00	AB+	Romiti-Merisi Group	danilopietrangeli	1339	BBBGRG82R28A535W		Ignazio Federici	Heritage manager	(Decimal('18.037630'), Decimal('-143.019615'))	550
ehettner@googlemail.com	2005-09-04	2021/07/03	O-	Bohnbach AG	ulrike73	586	400-32-7918		Bruno Wiek		(Decimal('11.149606'), Decimal('-79.552385'))	533
bairdjohn@hotmail.com	1921-10-11	10/25/2024, 00:00:00	AB-	Miller-Rodriguez	jordanwilliam	266	529-43-4554		Lisa Williams		(Decimal('6.6838625'), Decimal('-154.991328'))	87
ambermartinez@hotmail.com		2022/11/21	AB+	Graves-Rivera	audrey47	2027	241-77-9349		Nicole Marsh		(Decimal('-83.6089415'), Decimal('-153.974045'))	620
johnsonalexandra@gmail.com	1992-04-08	13 Mar 2024	A-	Whitehead, Young and Ellison	zbishop	320	098-41-9545		Patricia Zavala		(Decimal('19.482916'), Decimal('-175.391795'))	225
teixeiraemanuel@bol.com.br		10 Apr 2024	O-	da Conceição	da-conceicaoana-luiza	1722	85739014204		Isabel Araújo		(Decimal('34.0182615'), Decimal('-5.967978'))	432
bernardo24@ig.com.br		29 Apr 2019	A-	Monteiro	aporto	716	91586274309		Dra. Larissa Rezende			451
rodrigobrito@uol.com.br	1916-09-18	2020-07-29	A+	Pires - EI	amanda73	72	17984325014		Kevin Câmara		(Decimal('-85.4961055'), Decimal('-81.274339'))	181
kobayashimiki@gmail.com		08 Jun 2020	B-	有限会社渡辺食品	yamamotomai	207	041-35-9620		高橋 直樹		(Decimal('23.2686815'), Decimal('-77.448275'))	313
campbellelizabeth@gmail.com	1954-11-16	10/31/2024, 00:00:00	O+	Pacheco, Smith and James	qbray	301	320-19-4507		Holly Brown		(Decimal('26.1683845'), Decimal('137.365154'))	353
cgraf@web.de	1912-03-23	10 Jul 2021	A-	Wilmsen	lieschenroht	1703	471-55-7026		Kerstin Vogt	Mathematiker	(Decimal('89.500141'), Decimal('-131.383089'))	759
hiroshi94@gmail.com	1945-08-28	12 Jan 2025	A+	吉田運輸株式会社	akirakato	1994	382-48-4965		近藤 さゆり		(Decimal('-30.1958565'), Decimal('-37.427698'))	24
osamu53@gmail.com	1930-12-03	2018-12-31	AB-	村上保険株式会社	jyamamoto	514	225-44-6586		小川 京助		(Decimal('11.981394'), Decimal('145.457740'))	179
oregge@alice.it		12 Sep 2022	A-	Sonnino, Bianchi e Morlacchi SPA	baglionidurante	156	FLGVRL18B44I742E		Sig.ra Ida Rosselli		(Decimal('5.829647'), Decimal('-170.746842'))	197
aantonioni@hotmail.com	2009-10-01	2025/01/23	O+	Randazzo s.r.l.	alessioughi	314	NCLGST44E67C670D		Durante Jovinelli		(Decimal('-30.8209845'), Decimal('-168.549685'))	629
vda-conceicao@yahoo.com.br		2019/03/07	AB-	da Luz	agathamoreira	2051	27135498097		Agatha Carvalho		(Decimal('3.2774775'), Decimal('-92.253518'))	777
uleao@hotmail.com	2022-01-22	04/10/2025, 00:00:00	AB-	Mendes - ME	cavalcantipedro-miguel	938	47160235835		Felipe Cavalcante		(Decimal('-80.528966'), Decimal('-29.247177'))	279
evelinereinhardt@hotmail.de		03/04/2019, 00:00:00	A+	Faust Keudel GbR	johannekitzmann	361	515-25-1863		Ida Eberth		(Decimal('57.613015'), Decimal('59.440674'))	555
ipetrucelli@hotmail.com		01 May 2019	B+	Ossola, Mazzacurati e Pareto s.r.l.	isabella29	597	SGSPSL59P67A739B		Zaira Gremese		(Decimal('-28.8830345'), Decimal('-167.619439'))	807
lisacundari@poste.it	1941-08-27	18 Aug 2021	A-	Majorana SPA	pierobarberini	181	CMPCNT63C07H038B		Sig.ra Loredana Celentano		(Decimal('-59.190999'), Decimal('20.712875'))	323
matthew56@yahoo.com	2015-09-02	2023-09-30	A+	Roberts, Reyes and Sanchez	ashleycampbell	1417	507-87-6237		Samantha Booker		(Decimal('-48.9664505'), Decimal('-89.348176'))	676
johnsonrobin@hotmail.com		2023/02/19	AB+	Coleman PLC	martinezjeffrey	742	026-42-0804		Gerald Gray		(Decimal('-7.8568375'), Decimal('105.707003'))	123
angelo64@libero.it	1952-09-05	10/25/2023, 00:00:00	O-	Brunelleschi, Ariosto e Maspero Group	tlovato	1167	MJWGLI61B11E204Y		Flavio Iannucci		(Decimal('78.696696'), Decimal('75.861904'))	96
ninatasso@libero.it	1938-01-01	02/22/2025, 00:00:00	A+	Bragadin-Brambilla e figli	monica55	1666	GRBMLE12C42G512P		Sole Cardano-Borzomì		(Decimal('9.972826'), Decimal('-117.313936'))	28
stavros20@gmx.de	1930-02-19	10/17/2019, 00:00:00	B+	Junck AG	briemergerhild	742	763-09-3609		Ralph Textor-Becker		(Decimal('41.272951'), Decimal('-41.359940'))	116
fukudatomoya@yahoo.com	2009-06-14	10/19/2023, 00:00:00	A-	有限会社伊藤水産	tomoyasasaki	1858	316-81-9961		山下 結衣	アーティスト	(Decimal('-57.856881'), Decimal('67.789437'))	219
diogo59@bol.com.br	2001-05-01	2024/11/16	B-	Freitas e Filhos	fpereira	2054	02391764561		Vinícius Cavalcante		(Decimal('15.822307'), Decimal('52.201935'))	817
federicopuccio@live.com	1971-05-25	2025-05-20	AB+	Federico, Brugnaro e Cutuli Group	fiorenzoonio	1259	MRNNCT62E26H882S		Ignazio Opizzi	Brewing technologist	(Decimal('84.4494985'), Decimal('9.417550'))	556
traceymills@gmail.com		2022-05-06	O-	Dixon, Dillon and Johnson	omoore	502	853-37-4766		Kelli Martinez		(Decimal('-57.9555415'), Decimal('-109.738998'))	727
heidrichdiane@aol.de		11/25/2023, 00:00:00	B+	Faust	huebelthomas	1112	068-19-9077		Ing. Rotraut Heintze B.A.	Designer	(Decimal('41.386049'), Decimal('-46.362792'))	142
icarvalho@hotmail.com		2023/11/03	A-	Pires - ME	luizada-paz	1308	29578341628		Ana Clara Brito		(Decimal('-25.910140'), Decimal('-117.898324'))	562
callegaropierangelo@tim.it	1984-10-01	12/25/2023, 00:00:00	O-	Tornatore Group	luigidonarelli	488	MRTSRN93T21E161I		Valeria Celentano		(Decimal('-57.542098'), Decimal('-175.551258'))	473
kimurarei@gmail.com		2020/01/25	A+	小林通信有限会社	minorusuzuki	963	192-34-3338		山本 晃		(Decimal('-7.660268'), Decimal('29.905284'))	134
britopietra@gmail.com	2011-03-02	05/10/2020, 00:00:00	O+	Nascimento - EI	pedro81	1644	16072853986		Sara Almeida		(Decimal('50.5900395'), Decimal('-57.030051'))	26
bjensen@hotmail.com	1911-11-16	2023/06/18	AB+	Rodriguez, Jackson and Crane	adamsapril	752	398-80-3258		Megan Payne		(Decimal('64.7856765'), Decimal('-131.990740'))	767
kilian93@hotmail.de	1998-03-15	16 Feb 2020	A+	Harloff GmbH & Co. OHG	zahngotthold	374	493-99-6771		Dr. Leif Birnbaum		(Decimal('25.411468'), Decimal('-100.175417'))	57
maysa07@uol.com.br	1994-06-14	14 Jul 2019	O-	Siqueira	maitenovais	1878	20976358140		Sra. Larissa da Mota		(Decimal('-55.603216'), Decimal('98.994289'))	622
lucaniggli@hotmail.com		12/16/2022, 00:00:00	A-	Chiesa-Vergassola e figli	renata81	1398	BRSDNN63M24G088Q		Fernanda Merisi		(Decimal('-35.174584'), Decimal('19.501339'))	211
lopesantonella@ig.com.br	1926-03-17	06 Dec 2022	B+	Vieira Lima - EI	heloisadias	1710	03268419542		Francisco Nunes	Sonoplasta	(Decimal('-69.1732385'), Decimal('157.811039'))	462
ryosuke31@yahoo.com		2018/10/27	A+	合同会社小林食品	yamamotomiki	1570	459-71-2620		山本 加奈			693
iweimer@googlemail.com	1911-05-13	08/27/2022, 00:00:00	B+	Sauer Hertrampf OHG mbH	mwiek	76	612-88-3177		Hanspeter Sager		(Decimal('-49.790874'), Decimal('-13.473463'))	649
shota68@hotmail.com	1950-05-29	2024-04-12	AB+	山本情報合同会社	kaoriwatanabe	1301	596-68-3914		高橋 裕美子		(Decimal('0.8907155'), Decimal('39.260328'))	226
pereiracaroline@ig.com.br		2023-03-04	O+	Alves - EI	caldeiraalana	1935	90416578357		Ísis da Conceição	Velejador	(Decimal('-87.0850885'), Decimal('161.353090'))	170
ksmith@hotmail.com		2024/01/28	A+	Murphy-Reyes	john06	1821	490-36-1929		Katie Jackson PhD		(Decimal('62.174461'), Decimal('164.200087'))	12
svetlana97@googlemail.com		2024/02/08	B+	Dörr Warmer GmbH & Co. KG	heidrichbritta	613	991-41-2671		Hansgeorg Drub B.Eng.		(Decimal('-37.3339505'), Decimal('-52.921860'))	757
xogawa@hotmail.com	1999-10-01	2025-09-07	A+	小林保険株式会社	yoshidasatomi	1409	271-52-5701		林 里佳	お笑い芸人	(Decimal('-13.5547655'), Decimal('111.876811'))	341
zcuzzocrea@tin.it	1972-03-15	12/27/2024, 00:00:00	B+	Valentino, Scialpi e Conte e figli	ajellogaetano	556	MLNDLA69R13M413V		Cesare Gianinazzi		(Decimal('39.2479175'), Decimal('22.864040'))	778
ubertocerutti@gmail.com		29 Nov 2019	AB-	Parmitano e figli	lpuccini	584	FLLVLT01D21B397N		Coluccio Gabba		(Decimal('-70.538762'), Decimal('-7.678141'))	726
kaulluigi@yahoo.de		2023-01-06	AB+	Boucsein e.V.	jpaffrath	1268	290-06-6835		Raymond Barth	Elektroniker	(Decimal('31.6955535'), Decimal('-122.049220'))	577
danielmcdowell@gmail.com		2020-01-23	AB+	Yang, Moore and Clark	josephcollins	609	873-82-6060		Veronica Bush		(Decimal('-60.3526795'), Decimal('158.453266'))	15
susan64@yahoo.com		26 Mar 2022	O+	West-Holmes	larsontracey	752	890-51-5077		Richard Hoffman	Surgeon	(Decimal('72.301583'), Decimal('165.216242'))	359
holtbeatrice@aol.de		2020/03/31	AB-	Stoll	valeripruschke	885	430-38-3598		Anatoli Carsten		(Decimal('-61.9023345'), Decimal('44.396942'))	411
rebeccamccormick@hotmail.com		2024-02-12	O+	Stewart-Mercado	jessicasanders	1139	630-38-5708		George Callahan	Surveyor, building	(Decimal('-8.7343305'), Decimal('-106.596627'))	701
floresbrooke@yahoo.com	1970-09-23	10/20/2024, 00:00:00	B-	Nguyen-Turner	ryancarlson	662	116-29-4062		Caitlin King		(Decimal('25.563214'), Decimal('83.172070'))	249
yumiko30@gmail.com		03/28/2019, 00:00:00	O+	井上建設合同会社	mituru63	942	643-33-3505		佐藤 舞		(Decimal('32.8363995'), Decimal('169.304331'))	105
rembrandtmorandini@tim.it	2024-11-05	2019/10/30	O+	Chinnici-Borgia SPA	bcaboto	1769	BSOFLV55L11I917Z		Simonetta Cremonesi	Actor	(Decimal('-52.0500845'), Decimal('-130.676224'))	194
jacksonralph@yahoo.com	2024-07-17	2023/12/02	O+	Ingram PLC	thomas13	550	707-94-4825		Elizabeth Brock		(Decimal('-55.4037095'), Decimal('6.212699'))	749
karl-augustwilmsen@gmx.de		2022-03-16	AB-	Kostolzin AG & Co. OHG	stollerna	1041	802-27-8814		Eugenia Pärtzelt		(Decimal('46.952728'), Decimal('-3.545598'))	565
quasimodogianmarco@libero.it	2007-04-19	2025/05/09	B-	Schiavo SPA	caffarellimicheletto	297	NNCRNZ62L42F347H		Raffaello Casagrande-Pometta	Programmer, systems	(Decimal('31.6062925'), Decimal('-39.926916'))	448
jacksongary@yahoo.com		2025-06-16	B-	Mcclure-Graham	melissa43	1068	739-03-7332		Dave Zamora		(Decimal('31.5373755'), Decimal('49.748413'))	709
michelle56@gmail.com		2021/04/11	O+	Graves Ltd	jwong	1509	367-26-2171		Ellen Jones		(Decimal('-34.1420365'), Decimal('-96.186977'))	63
lara51@bol.com.br	2001-12-23	2023/04/26	AB-	Pereira	davi-luccabarros	73	90563428783		Marina Rodrigues		(Decimal('72.836378'), Decimal('166.792095'))	371
bvaughn@hotmail.com		07 Dec 2023	B+	Anderson-Gilbert	rodrigueztravis	1755	398-10-6704		Donald Hammond		(Decimal('87.0447175'), Decimal('136.661096'))	823
robersontimothy@hotmail.com		2021-10-08	AB-	Fisher, Andrade and Wilson	kirstengregory	421	111-85-6593		Stacy Rasmussen		(Decimal('-73.4388985'), Decimal('-10.535787'))	770
kyosukeyamazaki@gmail.com	1982-09-14	24 Nov 2018	O+	株式会社佐藤食品	nakagawanaoki	1421	163-87-8565		藤田 陽一		(Decimal('22.5836205'), Decimal('-26.503346'))	316
qkimura@gmail.com	1921-05-25	07/06/2025, 00:00:00	A+	有限会社佐藤保険	mikako31	1033	883-84-6485		池田 花子	エンジニア演奏家	(Decimal('-77.993133'), Decimal('-160.276320'))	574
maria-laurapacheco@uol.com.br		10 Mar 2019	A+	Marques	tporto	710	43527061835		Davi Lucca Pastor			300
takahashimituru@hotmail.com	2021-07-30	2024/06/05	A-	有限会社山本銀行	ishikawamiki	2055	883-50-3674		森 健一	運転士	(Decimal('13.6141075'), Decimal('153.636127'))	11
atsushikobayashi@gmail.com	1923-09-12	2023-08-12	B-	鈴木食品有限会社	tomoyawatanabe	580	127-69-0076		中島 直人		(Decimal('-89.4319155'), Decimal('29.648137'))	597
gionatacollina@live.com	1995-10-14	2018/10/11	A+	Ossola SPA	goldoniliana	1026	LBRRMN57S58A522H		Tonia Salata		(Decimal('65.675841'), Decimal('69.000115'))	330
gcorreia@bol.com.br	1984-08-29	2019/11/06	AB-	Novaes Azevedo e Filhos	bda-mata	1829	42079613561		Stella da Mata	Musicoterapeuta	(Decimal('-14.6792835'), Decimal('-137.119927'))	498
jnecci@libero.it		05/02/2019, 00:00:00	A+	Argentero Group	rbaracca	1307	FOANTN14H24D051F		Sig. Enzo Cutuli		(Decimal('-56.9196095'), Decimal('41.134232'))	456
akemisakamoto@hotmail.com		25 Feb 2025	B+	小林運輸株式会社	takahashishota	1484	771-20-5846		松田 拓真		(Decimal('-24.238795'), Decimal('12.910699'))	294
holstendan@aol.de		2018/12/15	O+	Dehmel	sigfried31	1510	504-00-1325		Bruno Mies		(Decimal('61.280098'), Decimal('-158.185297'))	269
iogawa@yahoo.com	1958-06-30	02 Jan 2020	A+	渡辺農林合同会社	itotakuma	986	673-84-6116		西村 篤司		(Decimal('-53.722474'), Decimal('-148.913789'))	378
gabriel04@uol.com.br	1933-09-18	2021-04-17	AB-	Mendes Cunha - EI	luigi11	1006	76590483175		Maria Alice Fernandes	Jogador de futebol	(Decimal('-44.604025'), Decimal('-2.739432'))	585
yurinovaes@bol.com.br		2024/09/03	A+	Rodrigues	juliada-luz	377	02185964720		Antônio Pereira		(Decimal('58.5392545'), Decimal('-48.017928'))	138
ncarpenter@hotmail.com	1943-08-25	05/26/2024, 00:00:00	A-	Flynn, Frazier and Reese	gpetty	213	831-80-6121		Aaron Long		(Decimal('53.8280755'), Decimal('-133.316437'))	557
mentzelgabriele@gmail.com		2024-09-30	A+	Rust AG & Co. OHG	scheuermannsusana	1979	416-32-9538		Mirella Weihmann-Tlustek		(Decimal('-22.2837775'), Decimal('-23.337166'))	152
hfujii@yahoo.com		04 Mar 2022	A-	有限会社高橋印刷	watanabekenichi	1863	225-25-6853		井上 くみ子		(Decimal('7.2071165'), Decimal('62.422437'))	801
aaparecida@uol.com.br	2017-06-01	16 Mar 2022	O-	Lopes	afogaca	95	15726839455		Cecília Novais	Transportador	(Decimal('43.7610795'), Decimal('-9.210459'))	513
anichinimassimo@live.com	1981-08-08	2022-01-12	A-	Malaparte s.r.l.	mcollina	895	FLNDLA92T03A181Z		Luciana Monicelli		(Decimal('-60.757073'), Decimal('-36.544595'))	37
nancyrodriguez@yahoo.com		2019/11/28	A+	Jenkins and Sons	cgreen	386	512-50-2946		Bradley Bishop	Customer service manager	(Decimal('-60.254616'), Decimal('-14.436153'))	186
yamamototaichi@yahoo.com	1934-09-10	05/24/2019, 00:00:00	O+	山本通信株式会社	rika91	1746	712-67-5458		山下 陽子	イラストレーター	(Decimal('31.601617'), Decimal('129.991398'))	732
esthergomes@uol.com.br		2023-12-29	O-	Ferreira	salesaylla	1261	73046582900		Sr. Luiz Fernando Ribeiro		(Decimal('-0.2291645'), Decimal('-58.204815'))	667
lucarellicamilla@yahoo.com		22 Feb 2023	O+	Gargallo-Saraceno s.r.l.	torquato43	1166	CSSLGO89R06C466C		Vito Granatelli		(Decimal('57.3574475'), Decimal('-57.386586'))	678
matteomoura@yahoo.com.br	1969-11-14	15 Jan 2024	AB-	Azevedo	balbuquerque	1143	48196370539		Liz Lima	Ascensorista	(Decimal('72.724729'), Decimal('-112.590602'))	780
harukatakahashi@yahoo.com		2018-10-22	O+	合同会社高橋水産	naoto71	1622	550-48-4497		伊藤 結衣		(Decimal('-26.6857675'), Decimal('81.502553'))	9
valentimbarros@yahoo.com.br		19 Dec 2020	A+	Abreu	lfreitas	437	82510764985		Thales da Costa		(Decimal('-39.923218'), Decimal('11.718372'))	245
njaentsch@gmx.de	1983-06-14	2022/03/10	AB+	Hering	jost53	1968	090-17-8329		Dietmar Faust MBA.	Bäcker	(Decimal('88.1497165'), Decimal('-41.244079'))	149
ligorioraffaella@yahoo.com	2005-07-09	2025/06/22	A-	Tamborini, Bianchi e Gregori e figli	iveltroni	400	VLTMRT33D21M285B		Silvestro Visconti-Majorana		(Decimal('30.0833535'), Decimal('-163.149459'))	788
yamadakazuya@hotmail.com	1980-02-15	08/19/2024, 00:00:00	AB-	小林保険株式会社	ishiiryosuke	873	501-42-6182		遠藤 学		(Decimal('-44.683292'), Decimal('-83.532422'))	220
cnakamura@hotmail.com	1967-09-12	06 Dec 2019	B+	遠藤農林合同会社	kenichitanaka	1724	692-50-7041		佐藤 治		(Decimal('-52.204611'), Decimal('168.714830'))	463
fernandeslivia@uol.com.br	2009-04-30	2020-12-03	A+	Ferreira	maite76	1736	97632514007		Larissa Cavalcante		(Decimal('29.5929595'), Decimal('-20.198554'))	801
duncandavid@hotmail.com		26 Jan 2023	A-	Watson-Peters	sporter	1069	292-85-3707		Garrett Phillips PhD		(Decimal('-45.397348'), Decimal('7.808759'))	287
brendasales@gmail.com		2023/10/06	O+	Peixoto Cavalcanti S/A	asafebarros	409	73958046193		Sr. Luiz Fernando Costa		(Decimal('61.945491'), Decimal('52.133379'))	185
scheibemichaela@aol.de	1963-11-25	21 Jun 2021	O-	Hendriks	schenkeileen	57	906-73-8708		Sigmund Haering B.Eng.		(Decimal('30.0174285'), Decimal('-165.263983'))	487
xstephens@yahoo.com	1929-01-12	2020/08/06	O+	Wallace-Humphrey	francisthomas	86	089-36-5897		Courtney Stevens		(Decimal('72.3242735'), Decimal('0.145144'))	738
doris73@googlemail.com	1968-07-06	2023/01/02	A+	Schlosser Mentzel KG	beierdunja	1956	127-35-9981		Dr. George Kraus B.A.	Mechaniker	(Decimal('7.414853'), Decimal('45.033546'))	424
miuraakira@hotmail.com	1921-06-02	09/08/2023, 00:00:00	O+	高橋保険株式会社	kazuyanakamura	650	353-68-9552		鈴木 淳		(Decimal('84.2642575'), Decimal('118.551789'))	95
davidlewis@yahoo.com	1953-08-14	10 Mar 2021	O-	Nguyen-Jimenez	stevenwright	1914	766-20-5978		Shari Kennedy	Geochemist	(Decimal('39.342361'), Decimal('66.359456'))	103
uschidoerr@yahoo.de	1970-05-02	2023/11/29	O+	Heydrich KG	juettneralena	497	099-32-4749		Prof. Eckhard Heinz B.A.		(Decimal('35.474919'), Decimal('-101.718513'))	631
mario60@libero.it	1930-06-26	10/16/2019, 00:00:00	AB-	Filangieri-Galvani e figli	claudiocapone	307	MCHDRD97H69F500M		Gustavo Pirandello	Glass blower/designer		345
slavkoschwital@googlemail.com		2023-04-30	B-	Stadelmann OHG mbH	reuterlina	1164	764-68-9130		Univ.Prof. Emin Thies		(Decimal('51.708906'), Decimal('-58.566068'))	274
alexandrenunes@bol.com.br	1915-05-26	29 Dec 2021	A+	Duarte Cirino S/A	maria-eduarda15	1315	06514732925		Luiza Fonseca			519
donatellomodigliani@alice.it	1998-07-22	2021-03-11	AB+	Barzini e figli	wsoprano	729	LDVBRR18P29C862F		Lazzaro Soffici-Molesini	Actor	(Decimal('70.616980'), Decimal('16.250591'))	103
sasakirika@gmail.com	1998-05-24	30 May 2019	B+	株式会社坂本鉱業	tanakahideki	1154	101-07-2125		吉田 康弘		(Decimal('-7.5145495'), Decimal('-128.220976'))	266
lsa@hotmail.com	2006-05-05	05 Feb 2023	O-	da Costa	bruno95	1854	18509237603		Apollo Siqueira		(Decimal('5.0444425'), Decimal('132.233678'))	779
jamesking@gmail.com	1974-08-26	2021-07-03	O+	Smith Ltd	wendy93	881	405-19-7861		Nathan Jones	Glass blower/designer	(Decimal('-76.8244255'), Decimal('43.672866'))	703
maria-ceciliadias@uol.com.br		2019/08/14	O-	Montenegro - EI	nascimentopedro	2037	91825764085		Sr. Augusto Guerra		(Decimal('79.253058'), Decimal('101.970194'))	440
kaylaparker@hotmail.com	2019-09-30	2023/07/26	AB-	Snow Ltd	peterchapman	1962	488-03-4145		Michael Fuller		(Decimal('76.444902'), Decimal('-91.441691'))	602
evistiebitz@gmail.com	1995-09-21	02/02/2022, 00:00:00	A+	Etzler AG	torbenneureuther	1178	318-29-5662		Magrit Preiß		(Decimal('82.2855315'), Decimal('131.537134'))	105
wyamamoto@hotmail.com	1954-06-09	10/14/2023, 00:00:00	O-	有限会社鈴木鉱業	yokotanaka	364	656-47-5432		藤田 あすか		(Decimal('46.211266'), Decimal('1.760797'))	384
jtoso@tin.it		2021-05-20	AB-	Mattarella-Montanariello s.r.l.	dfattori	1770	MCHFLV13A41C153L		Geronimo Zacchia		(Decimal('-40.4203525'), Decimal('-163.193269'))	573
achille57@libero.it		07/23/2021, 00:00:00	O-	Borzomì-Gilardoni e figli	parutalazzaro	2052	CSNRFL60R52H673X		Gemma Missoni	Engineer, energy	(Decimal('-69.582783'), Decimal('34.150388'))	810
sandra46@gmail.com		2023-06-28	B-	White-Rodriguez	rodriguezangela	39	759-09-5814		Kim Sullivan		(Decimal('-18.0755165'), Decimal('-14.083981'))	194
teixeiradavi-luiz@uol.com.br		2024/06/14	AB-	Vieira Campos - EI	vpacheco	1418	15689407267		Maria Sophia Sampaio		(Decimal('7.2151055'), Decimal('-7.182631'))	310
wackermann@web.de		11/10/2018, 00:00:00	B-	Mitschke	ottokar33	492	499-01-6947		Iwona Heinz		(Decimal('-37.1089185'), Decimal('-66.638656'))	518
mklapp@googlemail.com	1965-04-27	2025-03-29	A-	Kallert	ztroest	1842	106-61-2817		Herr Hans-Erich Weiß		(Decimal('85.5811335'), Decimal('-105.473620'))	8
canilottone@fastwebnet.it	1932-12-11	02/07/2022, 00:00:00	AB-	Lucarelli-Adinolfi e figli	oscuroraffaele	451	CRTDMC46T48H107F		Sabatino Interminelli		(Decimal('-45.8479455'), Decimal('-119.227778'))	63
luiz-fernando21@hotmail.com		08/01/2021, 00:00:00	B+	Caldeira	benicio90	1604	95306812759		Maria Vitória Cavalcante			796
prich@hotmail.com	1945-04-05	27 Aug 2019	AB-	Wright, Johnson and Murphy	bryantstephen	132	576-62-6452		Elizabeth Patterson	Volunteer coordinator		182
minoruokada@gmail.com		01 Jun 2023	O+	有限会社松本食品	satosayuri	1173	657-40-7786		佐々木 幹		(Decimal('23.8906195'), Decimal('-179.684824'))	504
ippazio33@gmail.com	1944-04-15	11/26/2021, 00:00:00	A+	Praga e figli	adeletrobbiani	2008	RSMGFR59H53L223A		Ida Toninelli	Quarry manager	(Decimal('61.1861205'), Decimal('-177.310727'))	587
ana46@gmail.com		18 Mar 2024	AB-	Correia	azevedoisis	475	57084312617		Olívia Gonçalves		(Decimal('-83.927211'), Decimal('-165.842129'))	0
donatonimarco@hotmail.it	1973-01-28	05/22/2019, 00:00:00	O+	Soderini-Paoletti e figli	bignamipierangelo	862	GLTZGL01A51G532W		Dott. Ermenegildo Abba	English as a second language teacher	(Decimal('-51.1379715'), Decimal('-102.641187'))	563
ccervantes@yahoo.com	1974-08-17	2020/01/31	AB+	Warren Ltd	ostark	780	693-40-6615		Robert Mckay	Teacher, adult education	(Decimal('45.231353'), Decimal('-153.764535'))	314
dajanahertrampf@gmx.de	1958-12-27	2021/11/18	B+	Renner Fiebig Stiftung & Co. KG	drose	555	471-01-0153		Jutta Mielcarek	Drogist	(Decimal('-87.8526455'), Decimal('166.393268'))	523
crystalacosta@hotmail.com		07/21/2021, 00:00:00	B+	Cook Group	yperez	599	448-50-7803		Luis Bruce		(Decimal('69.633196'), Decimal('-117.101613'))	202
james59@yahoo.com	1981-06-07	09 Mar 2020	AB+	Garcia-Jones	hbraun	797	109-69-5854		Michael Salinas	Museum/gallery curator	(Decimal('0.0263185'), Decimal('-124.478973'))	172
